plants_present,species,mode
NA,Notolabrus tetricus,predator
NA,Olisthops cyanomelas,herbivore
NA,Caesioperca lepidoptera,predator
NA,Cheilodactylus spectabilis,predator
NA,Dotalabrus aurantiacus,NA
NA,Meuschenia australis,predator
NA,Neoodax balteatus,predator
NA,Pempheris multiradiata,predator
NA,Pictilabrus laticlavius,predator
NA,Pseudolabrus rubicundus,predator
NA,Trachinops caudimaculatus,predator
NA,Diodon nicthemerus,predator
NA,Aracana aurita,predator
NA,Cephaloscyllium laticeps,predator
NA,Siphonognathus attenuatus,predator
NA,Latridopsis forsteri,predator
NA,Meuschenia scaber,predator
NA,Siphonognathus tanyourus,predator
NA,Atypichthys strigatus,herbivore
NA,Caesioperca rasor,predator
NA,Scorpis lineolata,predator
NA,Girella elevata,herbivore
NA,Pseudocaranx georgianus,predator
NA,Aracana ornata,predator
NA,Conger verreauxi,predator
NA,Siphonognathus beddomei,predator
NA,Paramonacanthus filicauda,predator
NA,Vincentia conspersa,NA
NA,Acanthaluteres spilomelanurus,herbivore
NA,Ophthalmolepis lineolatus,predator
NA,Arripis spp.,predator
NA,Chironemus marmoratus,predator
NA,Heteroclinus johnstoni,predator
NA,Loliginidae spp.,NA
NA,Upeneichthys vlamingii,predator
NA,Cristiceps australis,predator
NA,Siphamia cephalotes,NA
NA,Clinidae spp.,NA
NA,Aetapcus maculatus,predator
NA,Bovichtus angustifrons,predator
NA,Meuschenia hippocrepis,herbivore
NA,Sepioteuthis australis,NA
NA,Syngnathinae spp.,predator
NA,Parascyllium ferrugineum,predator
NA,Acanthistius ocellatus,predator
NA,Achoerodus viridis,predator
NA,Actinopterygii spp.,NA
NA,Cheilodactylus fuscus,predator
NA,Chrysophrys auratus,predator
NA,Eubalichthys bucephalus,NA
NA,Eubalichthys mosaicus,predator
NA,Hypnos monopterygium,predator
NA,Meuschenia flavolineata,predator
NA,Meuschenia venusta,predator
NA,Notolabrus gymnogenis,predator
NA,Parupeneus spilurus,predator
NA,Pempheris affinis,predator
NA,Pempheris compressa,predator
NA,Anoplocapros inermis,predator
NA,Coris picta,predator
NA,Scorpaena cardinalis,predator
NA,Canthigaster callisterna,predator
NA,Meuschenia trachylepis,predator
NA,Scorpaena jacksoniensis,predator
NA,Sepia apama,predator
NA,Cheilodactylus vestitus,predator
NA,Urolophus sp. (striped stingaree),predator
NA,Orectolobus halei,predator
NA,Pempheris spp.,predator
NA,Trygonoptera imitata,predator
NA,Urolophus kapalensis,predator
NA,Brachaluteres jacksonianus,NA
NA,Chironemus maculosus,predator
NA,Coris sandeyeri,predator
NA,Trinorfolkia clarkei,predator
NA,Cochleoceps orientalis,predator
NA,Trygonorrhina fasciata,predator
NA,Halichoeres hartzfeldii,predator
NA,Petroscirtes fallax,herbivore
NA,Halichoeres nebulosus,predator
NA,Plagiotremus tapeinosoma,predator
NA,Pseudolabrus luculentus,predator
NA,Clupeiformes spp.,NA
NA,Chelonia mydas,NA
NA,Optivus agastos,predator
NA,Paraplesiops bleekeri,predator
