species_name,mode,keep
Erythropodium hicksoni,NA,No
Haliotis rubra,invert_herbivore,Yes
Pomacentrus milleri,NA,No
Plesiastrea versipora,NA,No
Unidentified barnacles,NA,No
Diopatra spp. (tubes),NA,No
Culicia spp.,NA,No
Herdmania grandis,NA,No
Unidentified ascidians,NA,No
Unidentified anemone,NA,No
Erythropodium sp. (grey),NA,No
Unidentified hydroid,NA,No
Unidentified ascidians (encrusting),NA,No
Gorgoniidae spp.,NA,No
Unidentified coral (soft),NA,No
Galeolaria spp.,NA,No
Pyura stolonifera,NA,No
Capnella spp.,NA,No
Melithaeidae spp.,NA,No
Pteronisis whiteleggei,NA,No
Unidentified invertebrates (encrusting),NA,No
Unidentified coral (bramble),NA,No
Primnoella australasiae,NA,No
Pyura gibbosa,NA,No
Polycarpa viridis,NA,No
Zoanthidae spp.,NA,No
Zoanthus robustus,NA,No
Galeolaria caespitosa,NA,No
Cnemidocarpa pedata,NA,No
Scolymia australis,NA,No
Botrylloides spp.,NA,No
Phallusia obesa,NA,No
Mopsea spp.,NA,No
Botrylloides anceps,NA,No
Alcyonarians,NA,No
Erythropodium spp.,NA,No
Mytilidae spp.,NA,No
Cleidothaerus albidus,NA,No
Unidentified oyster (flat),NA,No
Malleus meridianus,NA,No
Xenostrobus pulex,NA,No
Unidentified serpulids,NA,No
Barbatia pistachia,NA,No
Mytilus galloprovincialis,NA,No
No species found,NA,No
Austromegabalanus nigrescens,NA,No
Culicia tenella,NA,No
Trichomya hirsuta,NA,No
Unidentified brachiopod,NA,No
Corynactis australis,NA,No
Pyura spinifera,NA,No
Unidentified ascidian (orange throat),NA,No
Unidentified coral (other than plate),NA,No
Zoanthus sp. (Jervis Bay),NA,No
Saccostrea glomerata,NA,No
Zoanthus spp.,NA,No
Pyura australis,NA,No
Unidentified bivalve,NA,No
Clavelina spp.,NA,No
Cladiella ? sp.,NA,No
Parazoanthus spp.,NA,No
Cystodytes dellachiajei,NA,No
Ostrea angasi,NA,No
Botrylloides perspicuus,NA,No
Ritterella pedunculata,NA,No
Botrylloides leachii,NA,No
Filograna implexa,NA,No
Mopsella zimmeri,NA,No
Ralpharia magnifica,NA,No
Anthothoe albocincta,NA,No
Notocypraea angustata,invert_herbivore,Yes
Ostrea spp.,NA,No
Unidentified coral (plate),NA,No
Spondylus tenellus,NA,No
Sabellastarte spp.,NA,No
Centrostephanus rodgersii,invert_herbivore,Yes
Pinna bicolor,NA,No
Pinctada albina,NA,No
Corynactis spp.,NA,No
Unidentified coral (encrusting soft),NA,No
Unidentified ascidian (yellow),NA,No
Mopsella spp.,NA,No
Serpulorbis spp.,NA,No
Salmacina spp.,NA,No
Clavularia spp.,NA,No
Asperaxis karenae,NA,No
Cladiella sp. (grey),NA,No
Crassostrea gigas,NA,No
Unidentified invertebrates (tube matting),NA,No
Phlyctenanthus australis,NA,No
Oulactis mucosa,NA,No
Sabellidae spp.,NA,No
Clavelina cylindrica,NA,No
Epizoanthidae spp.,NA,No
Sassia verrucosa,invert_herbivore,Yes
Meridiastra gunnii,invert_herbivore,Yes
Holothuriidae spp.,NA,No
Unidentified limpet,NA,No
Sycozoa spp.,NA,No
Unidentified polychaete,NA,No
Hypoplectrodes sp. [Lord Howe],NA,No
Cenolia trichoptera,NA,No
Phlyctenactis tuberculosa,NA,No
Meridiastra calcar,invert_herbivore,Yes
Sassia parkinsonia,NA,No
Pictilabrus laticlavius,NA,No
Unidentified gastropod,NA,No
Astralium tentoriiforme,invert_herbivore,Yes
Patelloida alticostata,invert_herbivore,Yes
Heliocidaris tuberculata,invert_herbivore,Yes
Phyllacanthus parvispinus,invert_herbivore,Yes
Electroma georgiana,NA,No
Cellana tramoserica,invert_herbivore,Yes
Patella (Scutellastra) chapmani,invert_herbivore,Yes
Anoplocapros inermis,NA,No
Epiactis spp.,NA,No
Capnella gaboensis,NA,No
Diopatra dentata,NA,No
Didemnum spp.,NA,No
Carcharhinus obscurus,NA,No
Meuschenia flavolineata,NA,No
Amphibalanus variegatus,NA,No
Austrobalanus imperator,NA,No
