,site
1,BI-S1
2,BI-S2
3,BI-S3
4,BI-S4
5,BI-S5
6,BMP-S13
7,BMP-S14
8,BMP-S22
9,GSV1
10,GSV17
11,GSV18
12,GSV21
13,GSV25
14,GSV26
15,GSV4
16,GSV7
17,GSV9
18,JBMP-S1
19,JBMP-S10
20,JBMP-S11
21,JBMP-S12
22,JBMP-S13
23,JBMP-S14
24,JBMP-S15
25,JBMP-S16
26,JBMP-S17
27,JBMP-S18
28,JBMP-S19
29,JBMP-S2
30,JBMP-S20
31,JBMP-S21
32,JBMP-S22
33,JBMP-S23
34,JBMP-S24
35,JBMP-S25
36,JBMP-S26
37,JBMP-S3
38,JBMP-S4
39,JBMP-S5
40,JBMP-S6
41,JBMP-S7
42,JBMP-S8
43,JBMP-S9
44,KG-S1
45,KG-S10
46,KG-S11
47,KG-S12
48,KG-S13
49,KG-S15
50,KG-S16
51,KG-S2
52,KG-S20
53,KG-S21
54,KG-S22
55,KG-S23
56,KG-S4
57,KG-S7
58,KG-S8
59,MIR-S1
60,MIR-S10
61,MIR-S11
62,MIR-S12
63,MIR-S13
64,MIR-S14
65,MIR-S16
66,MIR-S17
67,MIR-S2
68,MIR-S3
69,MIR-S5
70,MIR-S7
71,MIR-S8
72,MIR-S9
73,NIN-S1
74,NIN-S2
75,NIN-S3
76,NIN-S4
77,PD-S11
78,PD-S12
79,PD-S14
80,PD-S16
81,PD-S17
82,PD-S21
83,PD-S23
84,PD-S25
85,PD-S26
86,PD-S29
87,PD-S4
88,PD-S7
89,PPH-S1
90,PPH-S10
91,PPH-S11
92,PPH-S12
93,PPH-S13
94,PPH-S14
95,PPH-S15
96,PPH-S16
97,PPH-S17
98,PPH-S2
99,PPH-S3
100,PPH-S4
101,PPH-S5
102,PPH-S6
103,PPH-S7
104,PPH-S8
105,PPH-S9
106,TI-S1
107,TI-S2
108,TI-S3
109,TI-S4
110,TI-S5
111,WP-S1
112,WP-S11
113,WP-S12
114,WP-S13
115,WP-S15
116,WP-S17
117,WP-S18
118,WP-S2
119,WP-S20
120,WP-S21
121,WP-S22
122,WP-S23
123,WP-S24
124,WP-S25
125,WP-S27
126,WP-S4
127,WP-S6
128,WP-S7
129,WP-S8
130,WP-S9
