species_name,mode,keep
Aeolidiidae spp.,NA,No
Agnewia tritoniformis,NA,No
Allostichaster polyplax,NA,No
Alpheus spp.,NA,No
Amblypneustes elevatus,invert_herbivore,Yes
Amblypneustes ovum,invert_herbivore,Yes
Amblypneustes sp. (Cape Portland),invert_herbivore,Yes
Amblypneustes spp.,invert_herbivore,Yes
Amoria undulata,NA,No
Amphimetra tessellata,NA,No
Antedon incommoda,NA,No
Antedon loveni,NA,No
Anthaster valvulatus,NA,No
Aphelodoris greeni,NA,No
Aphelodoris lawsae,NA,No
Aphelodoris varia,NA,No
Aplysia dactylomela,invert_herbivore,Yes
Aplysia spp.,invert_herbivore,Yes
Aplysia sydneyensis,invert_herbivore,Yes
Arctides antipodarum,NA,No
Ardeadoris rubroannulata,NA,No
Argobuccinum pustulosum,NA,No
Astele armillata,NA,No
Asterias amurensis,NA,No
Asterodiscides truncatus,NA,No
Asteroidea spp.,NA,No
Astralium aureum,NA,No
Astralium spp.,invert_herbivore,Yes
Astralium squamiferum,invert_herbivore,Yes
Astralium tentoriiforme,invert_herbivore,Yes
Astrostole scabra,NA,No
Atrina tasmanica,NA,No
Australostichopus mollis,NA,No
Austrocochlea spp.,NA,No
Austrotriton subdistortus,NA,No
Baeolidia australis,NA,No
Bedeva baileyana,NA,No
Bembicium nanum,invert_herbivore,Yes
Bolma aureola,invert_herbivore,Yes
Brachyura spp.,NA,No
Buccinidae spp.,NA,No
Bulla quoyii,invert_herbivore,Yes
Cabestana spengleri,NA,No
Cabestana spp.,NA,No
Cabestana tabulata,NA,No
Calcinus minutus,NA,No
Calcinus spp.,NA,No
Calliostoma ciliaris,invert_herbivore,Yes
Calthalotia fragum,invert_herbivore,Yes
Cancellus typus,NA,No
Cantharidus lepidus,invert_herbivore,Yes
Carcinus maenas,NA,No
Cassis fimbriata,NA,No
Cellana tramoserica,invert_herbivore,Yes
Cenolia glebosus,NA,No
Cenolia trichoptera,NA,No
