"campus","sample_type","sample_subtype","classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019"
"UCSB","FISH","FISH","AARG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Amphistichus argenteus","WoRMS",NA,"Barred Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS",NA,"Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS",NA,"Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS",NA,"Sargo",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS",NA,"Sargo",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AFLA","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus","WoRMS",NA,"Tubesnout",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","AFLA","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus","WoRMS",NA,"Tubesnout",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AGUA","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","guadalupensis","Apogon guadalupensis","WoRMS",NA,"Guadalupe Cardinalfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AHOL","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","holderi","Alloclinus holderi","WoRMS",NA,"Island Kelpfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","AHOL","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","holderi","Alloclinus holderi","WoRMS",NA,"Island Kelpfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","AINE","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Anoplagonus","inermis","Anoplagonus inermis","WoRMS",NA,"Smooth Alligatorfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ANOB","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","nobilis","Atractoscion nobilis","WoRMS",NA,"White Seabass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
