"network_ID","consumer_ID","consumer_PA","resource_PA"
1,"ANTXAN",4.20394051640248,2.42120110224975
2,"APLCAL",2,1
3,"APLVAC",2,1
4,"BRAY",5.12515441280632,2.70386664906322
5,"CENCOR",2.71780356307723,1.378125
6,"CPRI",4.32867298054777,3.92423668206161
7,"CVEN",6.28579904100789,4.11086139622238
8,"DERIMB",4.38105600104253,3.98849822742727
9,"EJAC",3.97058090563276,2.890625
10,"GMOR",6.33014117282842,4.22701033005246
11,"GNIG",3.01500971454805,2.20756974454315
12,"HALCOR",2,1
13,"HALRUF",2,1
14,"HFRA",5.35146624888023,3.38321870319652
15,"HROS",4.58503103097657,3.93265098350712
16,"HRUB",3.96578677451314,3.00696853193084
17,"HSEM",3.85861773161897,2.9024666229683
18,"KELKEL",3.41147961439209,2.19879706153838
19,"LOXGRA",4.54001024819588,3.78852596867812
20,"MCAL",3.48370505428592,1
21,"MEGCRE",3.526405969553,1
22,"MEGUND",2.59639118461514,1
23,"MESFRAAD",2.2907522911724,1
24,"OELO",6.24882183993805,4.60487611901727
25,"ORTKOE",4.01545680553702,4.30680669745655
26,"PANINT",3.89966523471336,2.23500690513788
27,"PCLA",5.54941477851741,4.30030078023722
28,"PFUR",3.99381270879712,2.27083333333333
29,"PISBRE",4.35144091710238,3.54166666666667
30,"PISGIG",4.21454221652233,2.14909779615378
31,"PISOCH",4.67386760179962,2.41666666666667
32,"POMGIB",2,1
33,"PUGPRO",3.8173055349888,1
34,"PYCHEL",4.17949219852827,3.03032180709278
35,"RTOX",4.07143676067577,3.234375
36,"RVAC",4.05083302839369,2
37,"SATR",5.14461718516711,4.41429621919085
38,"SCAR",4.99278027039255,3.66811317397296
39,"SCAU",5.69744984879689,4.16628572578907
40,"SCHR",5.97198516577905,5.02251102819724
41,"SGUT",5.28080728191543,3.42657496155004
42,"SMAR",5.5220027705975,3.9399409905845
43,"SPUL",4.02168821129571,2.76000089329
44,"SRAS",5.78115150398346,4.18767081016516
45,"STRE",5.78276913168675,4.21614666628698
46,"STRPURAD",2.27510820223824,1
