species,sample_type,sample_subtype,classcode,Kingdom,Phylum,Class,Order,Family,Genus,Species,species_definition,taxonomic_source,common_name,mode,keep
ACOR,FISH,FISH,ACOR,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,corallinus,Artedius corallinus,WoRMS,Coralline Sculpin,,no
ADAV,FISH,FISH,ADAV,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Anisotremus,davidsonii,Anisotremus davidsonii,WoRMS,Sargo,,no
AFLA,FISH,FISH,AFLA,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae,Aulorhynchus,flavidus,Aulorhynchus flavidus,WoRMS,Tubesnout,,no
AGLSTR,UPC,COVER,AGLSTR,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,struthionides,Aglaophenia struthionides,WoRMS,Ostrich-Plume Hydroid,,no
AHOL,QUAD,FISH,AHOL,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,Alloclinus,holderi,Alloclinus holderi,WoRMS,Island Kelpfish,,no
AHOL,FISH,FISH,AHOL,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,Alloclinus,holderi,Alloclinus holderi,WoRMS,Island Kelpfish,,no
AINE,FISH,FISH,AINE,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Anoplagonus,inermis,Anoplagonus inermis,WoRMS,Smooth Alligatorfish,,no
ALAMAR,SWATH,ALGAE,ALAMAR,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,marginata,Alaria marginata,WoRMS,Alaria,algae,yes
ANEM,UPC,COVER,ANEM,Animalia,Cnidaria,Anthozoa,Actiniaria,NA,NA,NA,Actiniaria,WoRMS,Anemone,,no
ANOB,FISH,FISH,ANOB,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Atractoscion,nobilis,Atractoscion nobilis,WoRMS,White Seabass,,no
ANTART,SWATH,INVERT,ANTART,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,Anthopleura artemisia,WoRMS,Moonglow Anemone,,no
ANTART,QUAD,INVERT,ANTART,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,artemisia,Anthopleura artemisia,WoRMS,Moonglow Anemone,,no
ANTELE,SWATH,INVERT,ANTELE,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,elegantissima,Anthopleura elegantissima,WoRMS,Aggregating Anemone,,no
ANTSOL,SWATH,INVERT,ANTSOL,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,sola,Anthopleura sola,WoRMS,Green Anemone,,no
ANTSPP,SWATH,INVERT,ANTSPP,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,spp,Anthopleura,WoRMS,Unidentified Anemone,,no
ANTXAN,SWATH,INVERT,ANTXAN,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,xanthogrammica,Anthopleura xanthogrammica,WoRMS,Giant Green Anemone,,no
AOCE,FISH,FISH,AOCE,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae,Anarrhichthys,ocellatus,Anarrhichthys ocellatus,WoRMS,Wolf Eel,,no
APFL,FISH,FISH,APFL,Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Apodichthys,flavidus,Apodichthys flavidus,WoRMS,Penpiont Gunnel,,no
APLCAL,SWATH,INVERT,APLCAL,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,californica,Aplysia californica,WoRMS,California Brown Sea Hare,invert_herbivore,yes
APLVAC,SWATH,INVERT,APLVAC,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,vaccaria,Aplysia vaccaria,WoRMS,Black Sea Hare,invert_herbivore,yes
APOCAL,SWATH,INVERT,APOCAL,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,californicus,Apostichopus californicus,WoRMS,California Sea Cucumber,,no
APOCAL,SIZEFREQ,INVERT,APOCAL,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,californicus,Apostichopus californicus,WoRMS,California Sea Cucumber,,no
APOPAR,SWATH,INVERT,APOPAR,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,parvimensis,Apostichopus parvimensis,WoRMS,Warty Sea Cucumber,,no
APOPAR,SIZEFREQ,INVERT,APOPAR,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,parvimensis,Apostichopus parvimensis,WoRMS,Warty Sea Cucumber,,no
APOSPP,SWATH,INVERT,APOSPP,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,spp,Apostichopus,WoRMS,Sea Cucumber,,no
ARBSTE,SWATH,INVERT,ARBSTE,Animalia,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,Arbacia,stellata,Arbacia stellata,WoRMS,black urchin,invert_herbivore,yes
ASTARM,SWATH,INVERT,ASTARM,Animalia,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten,armatus,Astropecten armatus,WoRMS,Armored Sand Star,,no
ASTARM,SIZEFREQ,INVERT,ASTARM,Animalia,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,Astropecten,armatus,Astropecten armatus,WoRMS,Armored Sand Star,,no
ASTSER,SIZEFREQ,INVERT,ASTSER,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Astrometis,sertulifera,Astrometis sertulifera,WoRMS,Fragile Rainbow Star,,no
ASTSER,SWATH,INVERT,ASTSER,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Astrometis,sertulifera,Astrometis sertulifera,WoRMS,Fragile Rainbow Star,,no
ASTSPP,SWATH,INVERT,ASTSPP,Animalia,Echinodermata,Asteroidea,NA,NA,Asteroidea,spp,Asteroidea,WoRMS,Unidentified Seastar,,no
