"ID","consumer_ID","resource_ID","network_ID"
1,"PYCHEL","DERIMB",34
2,"PYCHEL","ORTKOE",34
3,"PYCHEL","PATMIN",34
5,"PYCHEL","PISGIG",34
7,"PYCHEL","PISOCH",34
11,"LOXGRA","PYCHEL",19
12,"HFRA","PYCHEL",14
55,"PYCHEL","STRPURAD",34
57,"PYCHEL","MESFRAAD",34
116,"PYCHEL","MEGUND",34
118,"PYCHEL","MEGCRE",34
121,"PYCHEL","POMGIB",34
174,"PYCHEL","PHRCAL",34
349,"PYCHEL","LINCOL",34
350,"PYCHEL","HENLEV",34
351,"PYCHEL","CENCOR",34
354,"LOXGRA","DERIMB",19
358,"LOXGRA","ORTKOE",19
359,"ANTXAN","PATMIN",1
362,"LOXGRA","PATMIN",19
363,"HFRA","PATMIN",14
366,"LOXGRA","PISGIG",19
367,"HFRA","PISGIG",14
369,"LOXGRA","PISOCH",19
370,"HFRA","PISOCH",14
372,"LOXGRA","PISBRE",19
373,"HFRA","PISBRE",14
966,"EJAC","DIACAL",9
967,"HSEM","DIACAL",17
968,"SPUL","DIACAL",43
969,"CENCOR","DIACAL",5
1067,"DERIMB","CORCAL",8
1068,"HRUB","CORCAL",16
1069,"SCAR","CORCAL",38
2371,"LOXGRA","PUGPRO",19
2374,"HFRA","PUGPRO",14
2379,"SMAR","PUGPRO",42
2380,"SCAU","PUGPRO",39
2381,"SCAR","PUGPRO",38
2382,"SCHR","PUGPRO",40
2383,"SPUL","PUGPRO",43
2388,"GMOR","PANINT",10
2389,"SPUL","PANINT",43
3965,"ANTXAN","STRPURAD",1
3967,"PANINT","STRPURAD",26
3969,"HFRA","STRPURAD",14
3970,"HSEM","STRPURAD",17
3971,"SCAR","STRPURAD",38
3972,"SPUL","STRPURAD",43
3976,"PANINT","MESFRAAD",26
3978,"HFRA","MESFRAAD",14
3979,"SPUL","MESFRAAD",43
4203,"PCLA","AFLA",27
4204,"SGUT","AFLA",41
4205,"SMAR","AFLA",42
4207,"SATR","AFLA",37
4209,"STRE","AFLA",45
4236,"HROS","BFRE",15
4237,"PCLA","BFRE",27
4239,"SCAU","BFRE",39
4301,"CVEN","CPUN",7
4302,"HFRA","CPUN",14
4307,"GMOR","CPUN",10
4308,"OELO","CPUN",24
4309,"PCLA","CPUN",27
4310,"SGUT","CPUN",41
4311,"SMAR","CPUN",42
4313,"STRE","CPUN",45
4314,"SCHR","CPUN",40
4390,"BRAY","CAGG",4
4397,"OELO","CAGG",24
4399,"PCLA","CAGG",27
4400,"SGUT","CAGG",41
4401,"SMAR","CAGG",42
4403,"SCAU","CAGG",39
4404,"SATR","CAGG",37
4406,"SRAS","CAGG",44
4449,"CVEN","ELAT",7
4452,"GMOR","ELAT",10
4453,"OELO","ELAT",24
4454,"PCLA","ELAT",27
4455,"SMAR","ELAT",42
4457,"SCAU","ELAT",39
4498,"CVEN","EJAC",7
4501,"GMOR","EJAC",10
4502,"PCLA","EJAC",27
4504,"SCAU","EJAC",39
4594,"CVEN","GNIG",7
4597,"OELO","GNIG",24
4598,"STRE","GNIG",45
4641,"CVEN","HSEM",7
4642,"HFRA","HSEM",14
4645,"GMOR","HSEM",10
4647,"PCLA","HSEM",27
4676,"CVEN","HROS",7
4677,"HFRA","HROS",14
4680,"GMOR","HROS",10
4681,"OELO","HROS",24
4682,"PCLA","HROS",27
4683,"SMAR","HROS",42
4685,"SRAS","HROS",44
4791,"CVEN","HCAR",7
4794,"GMOR","HCAR",10
4795,"PCLA","HCAR",27
4797,"SCAU","HCAR",39
4821,"CVEN","HRUB",7
4824,"GMOR","HRUB",10
4825,"OELO","HRUB",24
4906,"CVEN","MCAL",7
4910,"GMOR","MCAL",10
4911,"OELO","MCAL",24
4912,"PCLA","MCAL",27
4913,"SMAR","MCAL",42
4915,"STRE","MCAL",45
4959,"OELO","OELO",24
4961,"SCHR","OELO",40
5000,"CVEN","OCAL",7
5005,"GMOR","OCAL",10
