Paper_no.,Year of publication,Latitude,Trophic study,Organizational scale,Organism type,Biome,No. resource taxa,No. consumer taxa,Study type,Empirical type,Effect of diversity,Effect of asynchrony,Sync. mechanisms ,Async. Mechanisms,Effect of predators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2018,20 to 46,multitrophic,Community,many,marine,marine,Marine,emperical,observational,NA,NA,structure of the ecosystem has changed with a decrease in asymmetrical geographical overlaps between species,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018,NA,multitrophic,Community,model,aquatic,aquatic,Aquatic,model,NA,NA,Yes,Fluctuations synchronise across clusters of linked local communities,NA,predators_stablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2017,Multi-region,monotrophic,Community,Plantae,terrestrial,terrestrial,Plant,meta,observational,Yes,Yes,NA,"Asynchrony of species increased stability of local communities, and asynchrony among local communities enhanced metacommu-
nity stability by a wide range of magnitudes (1–315%). Correlated with size of metacommunity",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2017,Multi-region,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,NA,"recovery was only positively affected by species richness in low-productive communities, with most diverse communities even showing overcom-
pensation; i.e., asynchrony",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2019,36.56,monotrophic,Community,Plantae,terrestrial,terrestrial,Plant,emperical,experimental,NA,Yes,NA,"plant functional groups asynchrony rather than climate change that determined the temporal stability
of plant community biomass",NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019,43.4,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,increased grazing increases species synchrony,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019,48.57,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,NA,Yes,NA,fertilization decreases species synchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2020,31.42,monotrophic,Community,Plantae,terrestrial,terrestrial,Shrubland,emperical,experimental,Yes,Yes,Decreased environmental variation leads to species synchrony,Increased environmental variation leads to species asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2019,53,monotrophic,Community,Bivalvia,marine,marine,Mudflat,emperical,observational,NA,NA,Synchronous recruitment; Synchronous growth rate,?,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2019,48.59,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,NA,No,Similar trends with environmental variation,Compeition leads to asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
